City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Port Alfred,ZA,2022-01-26 16:13:37,-33.5906,26.891,71.64,86,100,15.14
68,Homer,US,2022-01-26 16:10:03,59.6425,-151.5483,28.27,87,100,6.33
69,Palmer,US,2022-01-26 16:13:38,42.1584,-72.3287,23.5,40,20,1.01
70,Bambous Virieux,MU,2022-01-26 16:13:39,-20.3428,57.7575,77.25,61,20,6.91
71,Nemuro,JP,2022-01-26 16:13:39,43.3236,145.575,27.43,94,100,6.35
72,Kununurra,AU,2022-01-26 16:13:40,-15.7667,128.7333,80.58,78,96,10.36
73,Codrington,AU,2022-01-26 16:13:40,-38.2667,141.9667,66.7,89,46,5.44
74,Guerrero Negro,MX,2022-01-26 16:09:06,27.9769,-114.0611,58.89,68,56,3.44
75,Kapaa,US,2022-01-26 16:13:41,22.0752,-159.319,71.92,80,75,11.5
76,Cabo Rojo,PR,2022-01-26 16:13:41,18.0866,-67.1457,85.28,57,10,5.46
77,Linqu,CN,2022-01-26 16:13:42,36.5156,118.5397,28.49,84,87,3.44
78,Pevek,RU,2022-01-26 16:12:15,69.7008,170.3133,-35.25,99,48,4.21
79,Muros,ES,2022-01-26 16:13:42,42.7762,-9.0603,60.84,46,0,4.59
80,Pitimbu,BR,2022-01-26 16:13:43,-7.4706,-34.8086,88.39,62,53,11.63
81,Fortuna,US,2022-01-26 16:12:29,40.5982,-124.1573,35.94,51,5,4.43
82,Vanimo,PG,2022-01-26 16:13:44,-2.6741,141.3028,78.46,88,79,1.79
83,Ormara,PK,2022-01-26 16:13:44,25.2088,64.6357,69.31,44,0,6.46
84,Yellowknife,CA,2022-01-26 16:10:09,62.456,-114.3525,7.41,91,98,5.99
85,Kamyshlov,RU,2022-01-26 16:13:45,56.8428,62.7111,3.88,91,98,6.46
86,Tuatapere,NZ,2022-01-26 16:13:45,-46.1333,167.6833,50.83,83,84,7.4
87,Tete,MZ,2022-01-26 16:13:46,-16.1564,33.5867,77.77,91,96,3.78
88,Namatanai,PG,2022-01-26 16:13:47,-3.6667,152.4333,80.55,82,100,5.86
89,Port Elizabeth,ZA,2022-01-26 16:13:47,-33.918,25.5701,72.1,81,92,12.5
90,Tasiilaq,GL,2022-01-26 16:13:47,65.6145,-37.6368,14.16,65,100,4.81
91,Kaeo,NZ,2022-01-26 16:13:48,-35.1,173.7833,67.32,96,100,4.63
92,Tuktoyaktuk,CA,2022-01-26 16:13:48,69.4541,-133.0374,3.2,72,75,19.57
93,Hassan,IN,2022-01-26 16:13:49,13.0006,76.0994,62.94,89,54,10.33
94,Mount Gambier,AU,2022-01-26 16:14:50,-37.8333,140.7667,66.49,92,24,2.77
95,Sao Filipe,CV,2022-01-26 16:14:50,14.8961,-24.4956,78.58,56,12,12.82
96,Qaanaaq,GL,2022-01-26 16:14:51,77.484,-69.3632,-8.66,60,98,7.36
97,Smidovich,RU,2022-01-26 16:14:51,48.6,133.8167,-14.84,100,98,2.66
98,Sydney,AU,2022-01-26 16:10:26,-33.8679,151.2073,70.9,77,75,4.0
99,Cidreira,BR,2022-01-26 16:14:52,-30.1811,-50.2056,85.62,64,41,11.25
100,Faxinal,BR,2022-01-26 16:14:53,-24.0003,-51.3194,91.96,33,27,5.66
101,Ignalina,LT,2022-01-26 16:14:53,55.35,26.1667,23.52,94,100,7.14
102,Castro,BR,2022-01-26 16:14:54,-24.7911,-50.0119,85.26,47,68,5.7
103,Jalu,LY,2022-01-26 16:14:54,29.0331,21.5482,53.29,47,34,12.39
104,Bluff,NZ,2022-01-26 16:14:55,-46.6,168.3333,50.81,76,12,14.85
105,Gazanjyk,TM,2022-01-26 16:10:16,39.2446,55.5154,45.61,45,0,12.68
106,Male,MV,2022-01-26 16:14:56,4.1748,73.5089,81.18,63,100,14.18
107,Provideniya,RU,2022-01-26 16:14:56,64.3833,-173.3,-10.82,92,35,3.53
108,Ust-Omchug,RU,2022-01-26 16:14:57,61.15,149.6333,-30.23,99,94,4.38
109,Aranda De Duero,ES,2022-01-26 16:14:57,41.6704,-3.6892,50.07,38,0,11.59
110,Bantou,CN,2022-01-26 16:14:58,26.2151,117.4893,60.19,92,49,1.72
111,Tual,ID,2022-01-26 16:14:58,-5.6667,132.75,83.62,78,95,6.67
112,Bethel,US,2022-01-26 16:12:38,41.3712,-73.414,26.01,50,20,3.0
113,Taoudenni,ML,2022-01-26 16:14:59,22.6783,-3.9836,82.81,10,36,11.16
114,Saldanha,ZA,2022-01-26 16:15:00,-33.0117,17.9442,66.4,85,16,26.78
