City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
393,Ravar,IR,31.2656,56.8055,45.57,37,21,2.64,few clouds
394,Paita,PE,-5.0892,-81.1144,82.96,69,85,10.89,overcast clouds
395,Puksoozero,RU,62.5903,40.6066,11.23,95,100,5.82,overcast clouds
396,Along,IN,28.1667,94.7667,46.09,78,42,1.81,scattered clouds
397,Phangnga,TH,8.4509,98.5298,85.91,85,70,2.75,broken clouds
398,Tecoanapa,MX,16.5167,-98.75,83.7,62,3,9.19,clear sky
399,Quesnel,CA,52.9999,-122.5029,34.3,93,100,5.75,overcast clouds
400,Vershino-Darasunskiy,RU,52.35,115.5167,-18.65,99,7,3.94,clear sky
401,Portland,US,45.5234,-122.6762,50.38,72,75,1.99,broken clouds
402,Rochegda,RU,62.8,43.25,6.1,97,94,5.37,overcast clouds
403,Pyrzyce,PL,53.1462,14.8926,39.85,74,7,17.9,clear sky
404,Leua,SK,48.2156,18.6071,42.44,67,86,24.94,light rain
405,Altamont,US,42.2068,-121.7372,40.77,58,0,1.01,clear sky
406,Aksarka,RU,66.5606,67.7975,-1.62,97,98,5.3,overcast clouds
407,Namatanai,PG,-3.6667,152.4333,78.71,81,100,3.22,overcast clouds
408,Nchelenge,ZM,-9.3451,28.734,68.59,87,100,1.16,overcast clouds
409,Westport,US,41.1415,-73.3579,27.75,43,0,1.99,clear sky
410,Dinar,TR,38.065,30.1656,38.98,96,100,3.18,overcast clouds
411,Senanga,ZM,-16.1167,23.2667,65.12,94,99,4.21,overcast clouds
412,Daura,NG,11.5538,11.4085,69.1,18,83,13.4,broken clouds
413,Mabaruma,GY,8.2,-59.7833,84.94,53,18,8.32,few clouds
414,George Town,MY,5.4112,100.3354,82.89,86,20,2.3,few clouds
415,Inhambane,MZ,-23.865,35.3833,78.78,89,20,4.61,few clouds
416,Zhigansk,RU,66.7697,123.3711,-32.82,100,99,1.66,overcast clouds
417,Korla,CN,41.7597,86.1469,23.27,59,100,2.46,overcast clouds
418,Makat,KZ,47.6469,53.3463,30.27,94,100,7.65,overcast clouds
419,Ler,SS,8.3018,30.1418,79.57,20,100,5.39,overcast clouds
420,Winslow,US,35.0242,-110.6974,46.29,46,100,1.01,overcast clouds
421,Coacoyul,MX,17.8058,-99.11,80.22,32,0,4.92,clear sky
422,Gizo,SB,-8.103,156.8419,81.66,78,100,7.85,moderate rain
423,Porto Belo,BR,-27.1578,-48.5531,81.16,65,98,11.9,overcast clouds
424,Progreso,MX,21.2833,-89.6667,78.91,47,1,11.52,clear sky
425,Livenka,RU,50.4491,38.2959,30.72,94,100,17.43,snow
426,Miramar,US,25.9873,-80.2323,63.01,28,0,8.05,clear sky
427,Sioux Lookout,CA,50.1001,-91.917,5.38,92,100,4.61,overcast clouds
428,Pleasant Point,NZ,-44.2667,171.1333,61.29,94,0,1.1,clear sky
429,Ust-Nera,RU,64.5667,143.2,-13.02,99,100,1.41,overcast clouds
430,Ladnun,IN,27.65,74.3833,62.85,30,0,6.62,clear sky
431,Najran,SA,17.4924,44.1277,61.45,26,28,3.24,scattered clouds
432,Pingdingshan,CN,33.7385,113.3012,34.16,81,100,6.24,overcast clouds
433,Inta,RU,66.0317,60.1659,-0.56,93,100,4.05,overcast clouds
434,Batuan,PH,9.7808,124.1484,73.49,89,14,2.24,few clouds
435,Zheshart,RU,62.0731,49.5733,1.27,99,69,3.31,broken clouds
436,Samana,DO,19.2056,-69.3369,86.22,70,40,11.5,scattered clouds
